Code EPCI,Libellé EPCI,Catégorie A,Catégorie B,Catégorie C,Catégorie D,Catégorie E
200068807.0,CC Bassin Auterivain Haut-Garonnais,1381,346,831,159,248
200068815.0,CC Coeur de Garonne,1519,372,840,146,278
200068831.0,CC Pays Ségali,516,126,317,90,51
200068856.0,CC des Hauts du Perche,354,97,139,31,37
200068864.0,CC de la Mossig et du Vignoble,729,194,498,79,92
200068872.0,CC Éguzon - Argenton - Vallée de la Creuse,904,236,359,71,54
200068880.0,CC Champagne Boischauts,333,91,208,30,41
200068914.0,CC La Rochefoucauld - Porte du Périgord,860,221,475,116,88
200068922.0,CC du Confluent et des Coteaux de Prayssas,1173,294,598,108,124
200068930.0,CC Fumel Vallée du Lot,1178,283,563,97,165
200068948.0,CC Albret Communauté,1205,338,717,103,177
200068955.0,CC Anjou Loir et Sarthe,1089,358,864,130,136
200068963.0,CC Maine Coeur de Sarthe,595,161,503,82,107
200068989.0,CA Dinan Agglomération,4129,1111,2521,543,679
200068997.0,CA Arlysère,2088,611,1096,177,290
200069003.0,CC du Barséquanais en Champagne,791,249,406,73,127
200069029.0,CA des Deux Baies en Montreuillois,3329,764,1255,433,445
200069037.0,CA du Pays de Saint-Omer,5359,1248,2563,595,487
200069052.0,CA Grand Belfort,5872,958,2484,512,430
200069060.0,CC des Vosges du Sud,583,77,272,51,70
200069086.0,CC Leff Armor Communauté,1274,325,780,140,168
200069094.0,CC Isle et Crempse-en-Périgord,649,179,259,66,110
200069102.0,CC Randon - Margeride,119,40,76,18,32
200069110.0,CA du Grand Chambéry,5834,1463,2790,744,850
200069128.0,CC Mont Lozère,244,57,82,14,46
200069136.0,CC des Cévennes au Mont Lozère,257,69,75,13,31
200069144.0,CC des Hautes Terres de l'Aubrac,129,28,55,17,24
200069151.0,CC Gorges Causses Cévennes,369,96,112,41,55
200069169.0,CC Dômes Sancy Artense,384,133,236,27,39
200069177.0,CC Mond'Arverne Communauté,1250,362,754,145,158
200069185.0,CC des Terres d'Apcher-Margeride-Aubrac,305,73,165,28,40
200069193.0,CC de la Dombes,1185,239,680,145,224
200069227.0,CC Pays Fort Sancerrois Val de Loire,711,181,339,60,52
200069235.0,CC du Haut Pays du Montreuillois,582,149,283,70,92
200069250.0,CA Troyes Champagne Métropole,11769,2067,4179,1056,1192
200069268.0,CC Aubrac Lot Causses Tarn,243,67,154,28,55
200069300.0,CA Tarbes-Lourdes-Pyrénées,8438,1571,2861,810,781
200069383.0,CC du Grand Villefranchois,1121,294,465,159,199
200069391.0,CA de Lamballe Terre et Mer,2301,646,1654,309,357
200069409.0,CA Saint-Brieuc Armor Agglomération,7413,1730,4006,938,698
200069417.0,CC Pays d'Orthe et Arrigans,1142,323,616,122,226
200069425.0,CA Mont-Saint-Michel-Normandie,3121,787,1581,247,205
200069433.0,CC de Vezouze en Piémont,613,139,205,65,40
200069441.0,CC du Pays de Bitche,1409,301,520,116,117
200069458.0,CC des Vallées d'Auge et du Merlerault,649,154,265,72,77
200069482.0,CC des Campagnes de l'Artois,1051,284,701,106,136
200069516.0,CC Seulles Terre et Mer,513,133,264,62,68
200069524.0,CC Pré-Bocage Intercom,968,272,569,97,136
200069532.0,CA Lisieux Normandie,3337,911,1636,392,379
200069540.0,CC Norge et Tille,330,106,243,52,47
200069565.0,CC des Lacs et Montagnes du Haut-Doubs,706,155,312,48,64
200069581.0,CC Convergence Garonne,1570,438,849,158,191
200069599.0,CC Rurales de l'Entre-deux-Mers,721,259,411,78,75
200069615.0,CC Bresse Haute Seille,563,165,340,92,73
200069623.0,CC Champagnole Nozeroy Jura,782,187,400,87,86
200069631.0,CC Terres de Chalosse,738,194,456,103,147
200069649.0,CC Chalosse Tursan,912,229,616,91,176
200069656.0,CC Coeur Haute Lande,991,208,468,99,164
200069664.0,CC Meuse Rognon,335,67,218,31,44
200069672.0,CC du Ternois,1593,345,715,191,188
200069698.0,CC Mâconnais - Tournugeois,699,171,446,82,53
200069722.0,CC Interrégionale Aumale - Blangy-sur-Bresle,965,254,511,73,134
200069730.0,CC des Quatre Rivières,1208,333,684,98,127
200069748.0,CC Val de Gâtine,709,198,532,93,85
200069755.0,CC Mellois-en-Poitou,1463,435,955,173,173
200069763.0,CC du Haut-Poitou,1275,452,1049,201,157
200069821.0,CA Fécamp Caux Littoral Agglomération,1960,475,987,241,177
200069839.0,CC de la Côte d'Albâtre,1139,321,590,69,86
200069847.0,CC Plateau de Caux-Doudeville-Yerville,845,212,513,69,109
200069854.0,CU du Grand Poitiers,7888,2338,4221,1421,839
200069912.0,CC des Forêts du Perche,363,74,149,25,33
200069953.0,CC des Portes Euréliennes d'Île-de-France,1782,439,939,164,155
200069961.0,CC du Grand Châteaudun,1786,382,801,207,140
200069995.0,CC Médoc Coeur de Presqu'île,2019,399,822,147,199
200070035.0,CC du Civraisien en Poitou,876,295,493,99,101
200070043.0,CC Vienne et Gartempe,1221,397,734,171,217
200070068.0,CC Communauté Bray-Eawy,936,234,434,80,82
200070092.0,CA du Libournais,5769,1210,2340,508,529
200070100.0,CC du Val de Sully,951,267,591,103,95
200070118.0,CC Val de Saône Centre,616,159,406,61,134
200070126.0,CC Seine et Aube,443,98,218,38,62
200070142.0,CC Lyons Andelle,874,233,577,88,118
200070159.0,CC Coeur de Beauce,974,200,560,69,82
200070167.0,CC Terres de Perche,713,146,314,69,67
200070183.0,CC des Terres du Val de Loire,1631,442,1203,180,194
200070233.0,"CC Terres-de-Montaigu, communauté de communes Montaigu-Rocheservière",1324,445,1220,233,318
200070282.0,CC Lavalette Tude Dronne,678,176,324,66,70
200070290.0,CC Coeur du Pays Haut,1020,161,371,86,102
200070308.0,CA Mâconnais Beaujolais Agglomération,3828,1003,2345,427,247
200070316.0,"CC Entre Arroux, Loire et Somme",836,230,410,120,86
200070324.0,CC du Territoire de Lunéville à Baccarat,2273,399,883,240,215
200070332.0,CC des Savoir-Faire,574,157,294,47,79
200070340.0,CC Haute-Maurienne Vanoise,214,110,154,21,20
200070365.0,CC Corbières Salanque Méditerranée,1550,292,502,141,176
200070373.0,CC Loir-Lucé-Bercé,1144,309,594,207,119
200070407.0,CA Pays d'Issoire,2504,687,1646,214,247
200070431.0,CC Saint-Marcellin Vercors Isère Communauté,1804,489,1113,194,271
200070449.0,CC Inter-Caux-Vexin,1574,378,996,154,280
200070464.0,CC Coeur de Maurienne Arvan,475,173,297,27,49
200070506.0,CC Pays de Nexon Monts de Chalus,352,149,243,57,67
200070514.0,CA du Grand Cognac,3137,977,1911,333,266
